submission_id,time_ms
2940638,203
2904772,400
2885176,180
2871807,126
2826376,326
2793869,186
2786384,150
2775209,165
2770491,118
2740770,166
2739283,138
2739281,149
2738816,135
2738745,178
2658057,241
2656595,114
2651917,227
2651378,292
2644176,172
2640217,115
2640140,179
2640128,178
2639950,118
2637326,259
2637247,255
2637242,463
2637136,234
2637055,177
2637036,332
2637033,156
2636876,138
2636768,132
2635941,187
2635809,203
2635679,205
2635605,203
2635353,219
2635276,226
2634323,320
2632861,143
2632750,148
2632628,553
2632427,185
2631825,327
2631488,252
2631202,216
2631184,180
2630532,147
2630163,213
2629883,165
2627879,213
2627413,187
2627154,261
2626895,144
2626192,199
2625320,300
2624596,308
2624145,124
2623452,135
2623373,123
2622825,178
2620404,156
2594911,175
2277930,342
2152984,371
2152878,358
2106165,165
2100616,169
2100520,170
2100312,237
2099919,173
2099809,192
2099602,112
2099075,183
2099044,139
2098689,92
2098684,99
2098590,289
2098372,210
2097614,155
2097323,283
2096854,154
2096693,262
2096673,159
2096218,167
2096146,195
2095436,229
2094056,174
2093958,137
2093887,209
2093519,175
2092838,168
2091534,238
2090419,168
2089012,184
2085930,291
2051195,125
1996251,162
1875154,318
1834311,140
1805078,161
1803054,154
1800668,268
1796965,276
1792024,110
1791745,200
1791139,157
1790731,163
1790617,177
1790473,163
1790366,162
1790318,167
1789933,101
1789912,216
1789763,159
1789562,165
1789535,212
1789494,280
1789486,123
1789433,366
1789417,137
1789246,228
1788132,133
1787494,172
1786909,186
1786895,180
1786761,157
1786332,98
1785305,173
1784592,610
1783594,193
1781544,270
1781469,145
1781121,194
1781075,122
1780904,173
1779886,129
1779665,344
1779446,180
1779432,189
1779383,225
1626429,152
1625533,111
