topic,url,status
数学部分简介,https://oi-wiki.org/math/,pending
布尔代数,https://oi-wiki.org/math/boolean-algebra/,pending
数字系统简介,https://oi-wiki.org/math/numeral-sys/intro/,pending
进位制,https://oi-wiki.org/math/numeral-sys/base/,pending
平衡三进制,https://oi-wiki.org/math/numeral-sys/balanced-ternary/,pending
格雷码,https://oi-wiki.org/math/numeral-sys/gray-code/,pending
位操作,https://oi-wiki.org/math/bit/,pending
二进制集合操作,https://oi-wiki.org/math/binary-set/,pending
高精度计算,https://oi-wiki.org/math/bignum/,pending
快速幂,https://oi-wiki.org/math/binary-exponentiation/,pending
置换和排列,https://oi-wiki.org/math/permutation/,pending
弧度制与坐标系,https://oi-wiki.org/math/coordinate/,pending
复数,https://oi-wiki.org/math/complex/,pending
数论基础,https://oi-wiki.org/math/number-theory/basic/,pending
模算术简介,https://oi-wiki.org/math/number-theory/mod-arithmetic/,pending
素数,https://oi-wiki.org/math/number-theory/prime/,pending
最大公约数,https://oi-wiki.org/math/number-theory/gcd/,pending
欧拉函数,https://oi-wiki.org/math/number-theory/euler-totient/,pending
筛法,https://oi-wiki.org/math/number-theory/sieve/,pending
分解质因数,https://oi-wiki.org/math/number-theory/pollard-rho/,pending
裴蜀定理 & 一次不定方程,https://oi-wiki.org/math/number-theory/bezouts/,pending
费马小定理 & 欧拉定理,https://oi-wiki.org/math/number-theory/fermat/,pending
模逆元,https://oi-wiki.org/math/number-theory/inverse/,partial: existing exgcd inverse and dual arbitrary-array batch inverse with unit certificates; P5431 dual AC 297561197/297561804; consecutive-integer linear recurrence pending
线性同余方程,https://oi-wiki.org/math/number-theory/linear-equation/,pending
中国剩余定理,https://oi-wiki.org/math/number-theory/crt/,local-tested: dual exCRT plus Garner digits/target reduction; direct cpp_int CRT and reconstruction oracles; P4777 dual AC 297521102/297521173; P1495 dual AC 297521594/297521658; proofs in mathematics.tex
升幂引理,https://oi-wiki.org/math/number-theory/lift-the-exponent/,pending
阶乘取模,https://oi-wiki.org/math/number-theory/factorial/,pending
卢卡斯定理,https://oi-wiki.org/math/number-theory/lucas/,local-tested: specialized Lucas digit tables and proof; Pascal/cpp_int/uint64/reset tests; P3807 dual AC 297556209/297556596; exLucas prime-power/CRT dual AC 297520142/297520151
同余方程,https://oi-wiki.org/math/number-theory/congruence-equation/,pending
二次剩余,https://oi-wiki.org/math/number-theory/quad-residue/,"partial: prime modular sqrt via Euler/Cipolla and p mod 4 shortcut, dual tested; Jacobi, reciprocity and other methods pending"
阶 & 原根,https://oi-wiki.org/math/number-theory/primitive-root/,local-tested: dual order/root and Carmichael exponent; cycle/LCM oracles; P6091 dual AC 297558740/297559082; UVa10006 local drivers; prime-power formulas and Korselt criterion in mathematics.tex
离散对数,https://oi-wiki.org/math/number-theory/discrete-logarithm/,"local-tested: BSGS/exBSGS smallest nonnegative exponent; src/{compact,classic}/algebra.hpp; tests/discrete_log.cpp; m<=1e12; P4195 dual AC 297520101/297520104 on official <=1e9 inputs"
高次剩余 & 单位根,https://oi-wiki.org/math/number-theory/residue/,pending
数论分块,https://oi-wiki.org/math/number-theory/sqrt-decomposition/,pending
狄利克雷卷积,https://oi-wiki.org/math/number-theory/dirichlet/,pending
莫比乌斯反演,https://oi-wiki.org/math/number-theory/mobius/,pending
狄利克雷双曲线法 & 杜教筛,https://oi-wiki.org/math/number-theory/hyperbola/,pending
素数计数,https://oi-wiki.org/math/number-theory/prime-counting/,pending
Powerful Number 筛,https://oi-wiki.org/math/number-theory/powerful-number/,pending
Min_25 筛,https://oi-wiki.org/math/number-theory/min-25/,pending
洲阁筛,https://oi-wiki.org/math/number-theory/zhou/,pending
类欧几里德算法,https://oi-wiki.org/math/number-theory/euclidean/,pending
连分数,https://oi-wiki.org/math/number-theory/continued-fraction/,pending
Stern–Brocot 树与 Farey 序列,https://oi-wiki.org/math/number-theory/stern-brocot/,pending
二次域,https://oi-wiki.org/math/number-theory/quadratic/,pending
Pell 方程,https://oi-wiki.org/math/number-theory/pell-equation/,pending
多项式与生成函数简介,https://oi-wiki.org/math/poly/intro/,pending
代数基本定理,https://oi-wiki.org/math/poly/fundamental/,pending
快速傅里叶变换,https://oi-wiki.org/math/poly/fft/,pending
快速数论变换,https://oi-wiki.org/math/poly/ntt/,pending
快速沃尔什变换,https://oi-wiki.org/math/poly/fwt/,pending
Chirp Z 变换,https://oi-wiki.org/math/poly/czt/,pending
多项式牛顿迭代,https://oi-wiki.org/math/poly/newton/,pending
多项式多点求值|快速插值,https://oi-wiki.org/math/poly/multipoint-eval-interpolation/,pending
多项式初等函数,https://oi-wiki.org/math/poly/elementary-func/,pending
常系数齐次线性递推,https://oi-wiki.org/math/poly/linear-recurrence/,partial: quadratic characteristic reduction local-tested; fast variants pending
多项式平移|连续点值平移,https://oi-wiki.org/math/poly/shift/,pending
符号化方法,https://oi-wiki.org/math/poly/symbolic-method/,pending
Lagrange 反演,https://oi-wiki.org/math/poly/lagrange-inversion/,pending
形式幂级数复合|复合逆,https://oi-wiki.org/math/poly/comp-rev/,pending
普通生成函数,https://oi-wiki.org/math/poly/ogf/,pending
指数生成函数,https://oi-wiki.org/math/poly/egf/,pending
排列组合,https://oi-wiki.org/math/combinatorics/combination/,pending
抽屉原理,https://oi-wiki.org/math/combinatorics/drawer-principle/,pending
容斥原理,https://oi-wiki.org/math/combinatorics/inclusion-exclusion-principle/,pending
斐波那契数列,https://oi-wiki.org/math/combinatorics/fibonacci/,pending
错位排列,https://oi-wiki.org/math/combinatorics/derangement/,pending
